ProteinGroup,S03,S05,S07,S11,S08,S14
d8694_a1,0,0,0,0,0,1
d4663_a1,0,1,0,0,0,0
d5972_a1,0,0,1,0,0,0
d6675_a1,0,0,0,0,0,1
d6838_a1,0,0,0,1,0,0
d8693_a1,0,0,0,0,1,0
d6206_a1,0,0,0,0,1,0
d8060_a1,0,0,0,0,0,1
d8129_a1,0,0,0,1,0,0
d7418_a1,0,1,0,0,0,0
d6734_a1,0,0,0,1,0,0
d8561_a1,0,1,0,0,0,0
d8657_a1,0,0,0,1,0,0
d8033_a1,1,0,0,0,0,0
d6110_a1,0,1,0,0,0,0
d5789_a1,1,0,0,0,0,0
d4942_a1,0,0,0,0,0,1
d7724_a1,0,1,0,0,0,0
d4636_a1,0,0,0,1,0,0
d6991_a1,1,0,0,0,0,0
d7798_a1,0,0,0,0,1,0
d8408_a1,0,0,0,0,1,0
d7542_a1,0,0,0,0,0,1
d3923_a1,0,1,0,0,0,0
d8378_a1,0,1,0,0,0,0
d4885_a1,0,0,0,0,0,1
d4261_a1,1,0,0,0,0,0
d7225_a1,1,0,0,0,0,0
d8349_a1,0,1,0,0,0,0
d7638_a1,0,0,0,0,0,1
d2839_a2,0,1,0,0,0,0
d7006_a1,1,0,0,0,0,0
d7359_a1,0,1,0,0,0,0
a8_b24,0,0,0,1,0,0
d7504_a1,0,1,0,0,0,0
d5934_a1,0,1,0,0,0,0
d7944_a1,0,0,0,1,0,0
d7043_a1,0,0,0,0,1,0
d7482_a1,1,0,0,0,0,0
d5098_a1,1,0,0,0,0,0
d5875_a1,0,0,0,1,0,0
d7320_a1,0,1,0,0,0,0
d5596_a1,0,1,0,0,0,0
d4980_a1,1,0,0,0,0,0
d7100_a1,0,0,0,1,0,0
d7917_a1,0,0,0,1,0,0
d7070_a1,0,1,0,0,0,0
d6550_a1,0,0,0,1,0,0
d7858_a1,0,1,0,0,0,0
d5714_a1,0,0,0,0,1,0
d6926_a1,0,0,0,1,0,0
d6271_a1,1,0,0,0,0,0
d7637_a1,0,0,0,0,0,1
d5656_a1,0,0,0,0,1,0
d8400_a1,0,1,0,0,0,0
d7358_a1,0,0,0,0,0,1
d8216_a1,1,0,0,0,0,0
d6551_a1,0,0,1,0,0,0
d6088_a1,0,0,0,0,0,1
d4417_a1,0,1,0,0,0,0
d6089_a1,0,1,0,0,0,0
d6587_a1,1,0,0,0,0,0
d8781_a1,0,1,0,0,0,0
d8280_a1,0,0,0,1,0,0
d8437_a1,0,0,0,1,0,0
d8620_a1,1,0,0,0,0,0
d8341_a1,0,0,0,1,0,0
c503_a2,0,0,0,1,0,0
d6147_a1,0,0,0,0,1,0
d4797_a1,0,1,0,0,0,0
d6051_a1,0,0,0,0,0,1
d6647_a1,0,0,0,0,0,1
d6867_a1,1,0,0,0,0,0
d6270_a1,0,0,1,0,0,0
d6706_a1,0,0,0,1,0,0
d4077_a1,1,0,0,0,0,0
d6050_a1,0,0,0,0,1,0
d6588_a1,0,0,0,1,0,0
d6207_a1,0,1,0,0,0,0
d6705_a1,0,1,0,0,0,0
d6427_a1,0,0,0,1,0,0
d7465_a1,0,0,0,1,0,0
d8053_a1,0,0,0,0,0,1
d7570_a1,0,0,0,1,0,0
d5895_a1,1,0,0,0,0,0
d6741_a1,0,0,0,0,1,0
d7034_a1,0,0,0,1,0,0
d7270_a1,0,0,0,1,0,0
d5223_a1,0,0,0,0,0,1
d6331_a1,0,1,0,0,0,0
d6788_a1,0,0,0,0,1,0
d8522_a1,0,1,0,0,0,0
d6416_a1,0,1,0,0,0,0
d6856_a1,1,0,0,0,0,0
d6298_a1,0,0,1,0,0,0
d6378_a1,0,0,0,0,0,1
d6006_a1,0,0,0,1,0,0
d6830_a1,0,0,0,1,0,0
d7829_a1,0,1,0,0,0,0
d4809_a1,0,0,0,1,0,0
d7918_a1,0,0,0,0,0,1
d6877_a1,0,0,0,1,0,0
d7760_a1,0,0,0,1,0,0
d6936_a1,1,0,0,0,0,0
d7419_a1,0,1,0,0,0,0
d5874_a1,0,0,0,0,0,1
d8543_a1,0,0,0,1,0,0
d8090_a1,0,1,0,0,0,0
d8798_a1,0,0,0,0,1,0
d6301_a1,0,1,0,0,0,0
d5253_a1,0,1,0,0,0,0
d7428_a1,0,0,0,0,0,1
d7435_a1,1,0,0,0,0,0
d5908_a1,0,0,0,0,1,0
d8023_a1,0,0,0,0,0,1
d7943_a1,0,0,0,1,0,0
d6906_a1,1,0,0,0,0,0
d4672_a1,0,0,0,0,0,1
d7561_a1,0,0,0,1,0,0
d8252_a1,0,0,1,0,0,0
d6847_a1,0,1,0,0,0,0
d8367_a1,0,1,0,0,0,0
d6192_a1,1,0,0,0,0,0
d6945_a1,0,0,0,0,0,1
d5963_a1,0,1,0,0,0,0
d7866_a1,0,0,0,0,1,0
d7004_a1,0,0,0,1,0,0
d8193_a1,0,0,0,0,1,0
d5865_a1,0,0,0,0,0,1
d5849_a1,0,0,0,1,0,0
d7369_a1,0,0,0,0,1,0
d6394_a1,0,1,0,0,0,0
d3848_a1,0,0,1,0,0,0
d7376_a1,0,0,1,0,0,0
d8751_a1,1,0,0,0,0,0
d6242_a1,0,0,0,0,0,1
d6514_a1,0,0,0,1,0,0
d6348_a1,0,0,1,0,0,0
d8311_a1,0,0,1,0,0,0
d6453_a1,0,0,0,0,1,0
d8299_a1,0,1,0,0,0,0
d5917_a1,0,1,0,0,0,0
d7927_a1,0,0,0,0,0,1
d8475_a1,0,0,0,1,0,0
d7992_a1,1,0,0,0,0,0
d5858_a1,0,1,0,0,0,0
d7934_a1,0,1,0,0,0,0
d4876_a1,0,0,0,0,0,1
d6952_a1,1,0,0,0,0,0
d6015_a1,1,0,0,0,0,0
d6779_a1,0,1,0,0,0,0
d6183_a1,1,0,0,0,0,0
d6455_a1,1,0,0,0,0,0
d8358_a1,0,0,0,1,0,0
d5799_a1,0,0,0,0,1,0
d4935_a1,0,0,0,1,0,0
d5945_a1,0,0,1,0,0,0
d4690_a1,0,0,0,1,0,0
d7868_a1,0,1,0,0,0,0
d4733_a1,0,0,0,1,0,0
d7367_a1,0,0,0,0,1,0
d5867_a1,0,0,0,1,0,0
d3796_a1,0,1,0,0,0,0
d8708_a1,0,0,0,0,1,0
d5300_a1,0,1,0,0,0,0
d7531_a1,1,0,0,0,0,0
b39_a6,0,0,0,1,0,0
d4473_a1,0,0,0,0,0,1
d6260_a1,0,1,0,0,0,0
d8025_a1,0,0,0,1,0,0
d7472_a1,0,1,0,0,0,0
d2170_a5,1,0,0,0,0,0
d6303_a1,0,0,0,1,0,0
d7515_a1,0,1,0,0,0,0
d7016_a1,0,1,0,0,0,0
d7062_a1,0,0,0,0,0,1
d5924_a1,1,0,0,0,0,0
d5961_a1,0,0,0,1,0,0
d5991_a1,0,0,1,0,0,0
d6340_a1,0,0,0,0,1,0
c339_a3,0,1,0,0,0,0
d8649_a1,0,0,1,0,0,0
d5551_a1,0,1,0,0,0,0
d5926_a1,0,0,1,0,0,0
d6780_a1,0,0,0,0,0,1
d4731_a1,0,0,1,0,0,0
d8619_a1,0,0,0,1,0,0
d6964_a1,0,1,0,0,0,0
d7973_a1,1,0,0,0,0,0
d6281_a1,0,0,0,0,0,1
d7233_a1,0,1,0,0,0,0
d4972_a1,0,0,1,0,0,0
d6875_a1,0,0,0,0,0,1
d8388_a1,0,1,0,0,0,0
d8571_a1,0,0,0,0,1,0
d7533_a1,0,0,1,0,0,0
d5505_a1,0,0,0,0,1,0
d4789_a1,0,0,0,1,0,0
d8224_a1,0,0,1,0,0,0
d4905_a1,0,0,0,1,0,0
d6980_a1,0,1,0,0,0,0
d6359_a1,1,0,0,0,0,0
d8350_a1,0,0,0,1,0,0
d6654_a1,0,1,0,0,0,0
d8291_a1,0,0,0,1,0,0
d7971_a1,1,0,0,0,0,0
d4846_a1,0,1,0,0,0,0
d7397_a1,0,0,0,1,0,0
d5241_a1,0,0,0,1,0,0
d5837_a1,0,1,0,0,0,0
d8552_a1,0,0,0,0,1,0
d6917_a1,0,1,0,0,0,0
d5886_a1,0,0,0,1,0,0
d8165_a1,0,0,0,1,0,0
d8447_a1,0,0,0,1,0,0
d7955_a1,0,1,0,0,0,0
d6043_a1,1,0,0,0,0,0
d7310_a1,1,0,0,0,0,0
d8445_a1,0,0,0,1,0,0
d6542_a1,0,1,0,0,0,0
d7348_a1,1,0,0,0,0,0
d6595_a1,0,0,0,1,0,0
d6982_a1,1,0,0,0,0,0
d7407_a1,0,0,0,1,0,0
d7788_a1,0,0,0,0,1,0
d6601_a1,0,0,0,0,1,0
d6155_a1,0,0,0,0,1,0
d8504_a1,1,0,0,0,0,0
d5446_a1,0,0,0,0,1,0
d6096_a1,0,0,0,1,0,0
d8723_a1,0,0,0,1,0,0
d6540_a1,0,0,0,1,0,0
d8541_a1,0,0,0,1,0,0
d8677_a1,0,0,0,0,1,0
d7159_a1,0,0,0,1,0,0
d4557_a1,0,0,0,1,0,0
d8790_a1,1,0,0,0,0,0
d7682_a1,0,0,0,1,0,0
d6376_a1,1,0,0,0,0,0
d6799_a1,0,1,0,0,0,0
d6481_a1,0,1,0,0,0,0
d7717_a1,0,1,0,0,0,0
d6811_a1,0,0,0,0,0,1
d8482_a1,0,0,0,1,0,0
d4434_a1,0,0,0,0,1,0
d1101_a3,0,1,0,0,0,0
d7090_a1,0,0,0,1,0,0
d6858_a1,0,0,0,1,0,0
d4088_a1,0,0,0,0,1,0
d8270_a1,0,0,0,1,0,0
d8178_a1,1,0,0,0,0,0
d6934_a1,0,0,0,1,0,0
d8369_a1,0,0,0,1,0,0
d6561_a1,1,0,0,0,0,0
d7645_a1,0,1,0,0,0,0
d3165_a3,0,0,0,0,0,1
d3165_a2,0,0,0,1,0,0
d4705_a1,0,0,0,0,0,1
d7087_a1,0,1,0,0,0,0
d6971_a1,0,0,1,0,0,0
d6312_a1,0,1,0,0,0,0
d8072_a1,0,0,1,0,0,0
d8588_a1,0,0,1,0,0,0
d4646_a1,1,0,0,0,0,0
d6722_a1,0,1,0,0,0,0
d4067_a1,0,0,0,0,1,0
d6253_a1,0,1,0,0,0,0
d6663_a1,1,0,0,0,0,0
d7146_a1,0,1,0,0,0,0
d6004_a1,0,1,0,0,0,0
d8630_a1,0,0,1,0,0,0
d8428_a1,1,0,0,0,0,0
d6194_a1,1,0,0,0,0,0
d3504_a1,1,0,0,0,0,0
d8237_a1,0,0,0,1,0,0
d6472_a1,0,0,0,0,0,1
d7586_a1,0,0,0,1,0,0
d7611_a1,0,0,0,1,0,0
d6570_a1,0,1,0,0,0,0
d6626_a1,0,0,1,0,0,0
d8647_a1,0,1,0,0,0,0
d5915_a1,0,1,0,0,0,0
d6503_a1,0,1,0,0,0,0
d7214_a1,0,0,0,0,0,1
d5982_a1,0,0,0,0,1,0
d7649_a1,0,1,0,0,0,0
d8322_a1,0,1,0,0,0,0
d7599_a1,0,0,0,0,0,1
d4594_a1,0,0,1,0,0,0
d6667_a1,0,1,0,0,0,0
d8140_a1,0,1,0,0,0,0
d6290_a1,0,1,0,0,0,0
d4653_a1,1,0,0,0,0,0
d8419_a1,1,0,0,0,0,0
d7340_a1,0,0,0,1,0,0
d8101_a1,0,0,0,0,0,1
d8089_a1,0,1,0,0,0,0
c410_a3,0,0,0,1,0,0
d7155_a1,0,1,0,0,0,0
d6620_a1,0,0,0,1,0,0
d7658_a1,1,0,0,0,0,0
d7552_a1,0,0,0,0,1,0
d7437_a1,1,0,0,0,0,0
d4933_a1,0,0,0,0,0,1
d6127_a1,0,1,0,0,0,0
d7218_a1,0,0,0,0,1,0
d7491_a1,0,0,1,0,0,0
d8137_a1,0,0,0,1,0,0
d7053_a1,0,0,0,1,0,0
d7331_a1,0,0,0,1,0,0
d7378_a1,0,1,0,0,0,0
d7990_a1,1,0,0,0,0,0
d6068_a1,0,0,0,0,1,0
d7771_a1,0,0,0,1,0,0
d7244_a1,1,0,0,0,0,0
d8579_a1,0,1,0,0,0,0
d8762_a1,1,0,0,0,0,0
d4097_a1,0,1,0,0,0,0
d1520_a3,0,0,0,1,0,0
d7301_a1,1,0,0,0,0,0
d7654_a1,0,1,0,0,0,0
d7686_a1,0,1,0,0,0,0
d8261_a1,0,0,1,0,0,0
d5980_a1,0,0,0,1,0,0
