ProteinGroup,F06,F01,F07,F08
557c6006-8692-490c-aeda-0678afe652f7,0,0,2,0
c789159d-7ddc-48fd-a8cc-eb53541b23f9,0,0,2,0
e0d66f4e-62b6-4e88-b959-88635cd03aa0,0,2,0,0
080f70ca-bb33-4ae9-8d2c-fdd6a550fd16,0,2,0,0
411635df-60ab-43e2-b9e0-1432cd5c905c,0,2,0,0
53e3c7a5-9cb7-41fe-ae93-8c4b3347a988,0,0,0,2
7b9ecd1c-081d-4795-a606-2284b41b355f,0,2,0,0
3259ea2b-6df1-4218-b89a-1337752ee5a7,0,0,2,0
ce04e2d9-b55b-4c75-b748-6957fc168d8c,0,0,2,0
84bc50bc-8625-42d1-a707-08625677d5e1,0,0,2,0
b1bbc1b1-4af2-444c-9937-d5390789ca39,0,2,0,0
437611df-ce07-42fc-abd9-72691b5ecc80,2,0,0,0
59306b59-1995-4be9-b361-0f12391b37f1,0,0,0,2
bfdefdce-5ab3-4184-9d1a-183754d47503,0,2,0,0
e5e95135-f665-4667-920e-c6e44fab9701,2,0,0,0
ae9f6487-0991-4525-a2a4-8f82d18ef049,0,2,0,0
d2cd0761-cc3f-4d68-8faf-47fc2de302de,0,0,2,0
33dcdc7e-fd7d-4b9f-bd9a-694094188905,0,0,2,0
04147a89-48f7-4777-8c8a-b30f8970e95b,0,0,0,2
51d8e1c8-a038-4f6c-88b0-472df0ae7c19,0,2,0,0
de1bb44a-fed5-4d17-83bf-f282626766d4,0,2,0,0
b8e11fe4-4c13-4afd-bb33-76085bd8836e,2,0,0,0
5e5bd44f-0643-4c68-b0b3-b7ee13033a7f,0,2,0,0
2f065fc3-4478-4ad7-ab6f-88f48d7de68b,0,0,2,0
275164d6-fbcb-4508-b42e-1db576ec905d,0,2,0,0
e55936f0-b243-44b6-8eea-d71c6abf16d1,0,0,2,0
b6cdcbeb-913c-4fb4-a460-6d29329e5dfa,0,2,0,0
4d1ef6e0-ac75-48ba-a788-c79da8379cdf,0,2,0,0
5cf05868-e65e-4d6a-ad50-bb8c9299e7d4,0,2,0,0
fcdffa92-4112-439b-b732-70bbae3b10ee,0,2,0,0
0ee094eb-20f0-485a-a13c-50dc431d1f5a,0,0,2,0
8999d658-e08e-437e-ae7f-8cc94bc54d0d,2,0,0,0
7090ebb1-496d-40ea-a1cb-2cf413f8f072,2,0,0,0
1265b425-6445-4368-8262-577b6247ebfb,0,0,2,0
3334e8d9-b3b7-4c8f-b313-7054f6a796fa,2,0,0,0
626d08e5-83b7-4634-b8c1-34a466e6cf55,0,2,0,0
2ab37994-32cc-4a04-b9a3-bc2a9b84f013,0,2,0,0
d2f4856e-bfa6-407b-8fc3-0f4794c0a000,0,2,0,0
5a1d2bde-25b9-4f10-b89b-64f83cce9538,0,0,2,0
41274e93-7c52-43fa-a029-56bf5bd4129b,0,0,2,0
fff6c204-d235-4716-a77e-10a8d399f22a,0,0,2,0
79c57d95-97fb-4457-81c0-2597066455c9,2,0,0,0
ad4d2253-97be-4f77-8853-71564953a97b,0,2,0,0
b98e59af-b7e4-4268-b4e7-ea7e082a3b63,0,2,0,0
6151959e-1aa3-4fa4-9133-07e959e66bae,0,2,0,0
2e23e5be-1bdf-4df1-a6e3-7b003ae3573e,0,0,2,0
740fac21-b718-49f2-b999-ef1fc4b419d5,0,0,2,0
116108a7-6bcd-499e-80f3-75dd7eae1eb7,0,0,2,0
f7e0b994-96da-476d-a226-e875352629f7,0,2,0,0
cb09a841-f619-4580-9e1a-29891cd5aaf2,0,0,2,0
8fd193fb-aa51-4c88-8f99-5bb31cf3160f,2,0,0,0
94a1e154-602f-4aad-a577-a63b3443462b,0,2,0,0
a6efaae9-582f-4205-81ad-8c0aca5e00c2,0,2,0,0
bc9226fb-e7bd-4139-ba17-f847b0fec796,0,2,0,0
603e2f0f-d2b4-4e78-84f5-ba8f183b1ab9,0,2,0,0
7f863565-b5b1-4e2f-b1a9-2ab0521d39c6,2,0,0,0
ca51e0d3-a5ad-4358-ae01-33bda23d2d20,0,2,0,0
cd4d04a9-3fc0-4003-9819-a15da3de461f,2,0,0,0
af87b0ae-adac-4269-8300-b62aca5e54a0,0,2,0,0
5c990f0b-6694-4a35-b1fc-d13e48c02f76,0,2,0,0
1487a659-6bb3-4d51-a9fb-d52f131deddf,0,0,2,0
cf2f578e-cfd2-40c9-aaa9-8de2728c3f9d,0,0,2,0
0aa63be0-7ab3-43fd-b153-e9bbe11e3105,0,0,2,0
5f68acff-6ec2-4a36-ab23-ef50b50267cd,2,0,0,0
8d5577d3-2385-4dbd-bf4d-605872f377a5,0,2,0,0
9ec8abc5-9ec3-44ca-8916-bc3003d88e11,2,0,0,0
d08ff9fc-d1c8-4afb-8b9a-d8e98a551e37,0,2,0,0
e497dd58-8317-4b28-9a43-75de72aeb264,0,2,0,0
aa68fa11-637e-4fc4-834d-df00cc55fc01,0,0,2,0
eb711ed3-5916-4d16-8b1d-0feec639c4f5,0,0,0,2
ddc4f8f9-eabe-4843-b4f5-e054a812dabd,0,0,2,0
c5025715-d735-49aa-8f89-233a5e64f628,0,2,0,0
19838998-334e-4fe9-bbf6-d9dd9208e966,0,0,2,0
1acea434-38e8-4720-a34b-ec6793e6be86,0,2,0,0
120d0460-8ccd-4007-8141-9603b93f2377,2,0,0,0
5a72a753-3c06-4be7-9a8b-3642a278216e,0,0,0,2
199a36a7-3bc4-4983-81b6-ae4db27049ed,0,2,0,0
4a3b6798-eea7-401a-a554-251648ce4847,0,2,0,0
9c43367c-8ca8-4d90-abc1-96aab0abdc39,0,2,0,0
40001611-5b57-4f70-ac56-895ddd024d10,0,2,0,0
2492af07-8658-42bc-948c-1e615bbe084e,0,2,0,0
47ec692c-c14e-4909-bd0f-b0bc1977d826,0,2,0,0
babed870-6824-4993-b52c-bd45f631c499,0,0,2,0
1c72e00f-559b-450e-8037-acb9b2151cfe,0,2,0,0
abf9bf80-fba8-4ffc-93a9-b8fde8c35fa5,2,0,0,0
a6121177-c43b-4bec-8bdb-b4ec919a6a52,0,2,0,0
c6a3014e-927f-4bcd-ad45-ad8fbcc5bc4c,2,0,0,0
0c4de193-2647-49c0-81a2-39a398e74a3b,0,0,2,0
ce0aedc1-e7e4-41ae-b510-2e44fe86ad5c,0,2,0,0
b50d440c-8aae-4a1f-89e7-52a6666c36e4,0,0,2,0
22bdfabe-8b96-451a-83a0-9f06b7dbc569,0,0,2,0
8dcab7ec-bf10-4158-a8d1-eb7d89fcaad1,0,2,0,0
8e5ef809-ab85-446e-b499-0ca4bc1f9651,0,0,0,2
637359cf-c2a2-4e70-9467-4e5dd0e439a2,0,0,2,0
aa42a0d7-7a19-427d-ac78-a07ff8b7825b,2,0,0,0
fde0a273-06d3-4aed-af76-10686d31a1fc,0,2,0,0
ccf09a88-62cb-4133-9dfe-3b2576631b66,0,0,2,0
1b77585c-2d1c-442b-8bd9-1dd1758db80b,0,2,0,0
e276b2ac-7432-4340-ab70-870f6e4e43f2,0,0,2,0
0efca824-05fc-4e31-b1bd-b3e7dcc1e319,0,0,2,0
5f91c745-1e83-4b9a-b2a3-6b75a6c7c82e,0,2,0,0
144a711a-a5b1-4b6d-bef5-a2adc73bc110,0,2,0,0
18b119cf-3e41-4b1e-976f-1a057c81f7a1,0,2,0,0
c6ff03a8-b4bd-406d-ae0f-e522ba2c283d,2,0,0,0
91dc5ab9-7569-4a22-abf0-dab5c4f0defe,2,0,0,0
ecc10b65-d344-4c5c-a5f5-3a7c0d1d69ba,0,0,2,0
429b876d-5569-42ba-95bf-5192af278a8f,0,2,0,0
5e174ac0-ce96-46b2-a60b-651bacee6c73,0,0,2,0
fdc4997c-222d-49e9-acb0-16e0407b49c3,0,0,2,0
384dcc71-b010-46f1-8be3-7ee9655f16a5,0,2,0,0
3eefc92e-9801-43f7-90ea-ffe4697f6d22,0,0,2,0
64c685d4-3f52-4720-b6f9-4f62b399db9f,0,2,0,0
86f23074-a53b-4eff-9811-56d13a138547,0,2,0,0
96d6af5f-ee35-4a06-ac88-6964d76d61a2,2,0,0,0
1e5b1e29-e31a-4240-ab05-e98f049cd14c,0,0,2,0
4083cb6f-f9d2-4fa0-be05-319e3b350f3a,0,0,2,0
c7601efd-3100-4267-b7ca-3460ac9c5496,0,0,0,2
3622ebb3-bd7e-4fb8-88f8-5e98584be61d,0,2,0,0
d966e475-f7f9-4ea3-a823-b08247e009fc,0,2,0,0
432ece07-6d1e-497a-b816-3d1db1e2505f,0,2,0,0
de9e24b6-2c2a-4a03-8952-80c6d3196239,0,0,2,0
7f11f15c-66dc-48a6-8f8e-5d4894242d8f,0,2,0,0
47178f7e-4969-4b63-a67a-495fe96d7e14,0,2,0,0
93411d82-b61c-493b-a65b-0f4f3b0e5219,0,2,0,0
fe36dfff-b03a-4874-b925-74f7a018d921,2,0,0,0
ba77e420-aa69-4512-868d-46f64d526515,0,2,0,0
1e3cff77-4b9d-4b4e-9ba7-0d91fb9c72be,0,0,2,0
bc4124d2-b682-4561-9e78-ee572455caa8,2,0,0,0
05a294d4-fbf4-4d34-a195-4ca7691d5334,2,0,0,0
f101fc35-d477-4e37-b679-f158987cfde6,0,2,0,0
e2ab44c0-fedc-4ad9-8eb3-893b861951fd,0,2,0,0
e005ca29-e9f6-41f4-8a37-fd2ac686287a,0,2,0,0
ea1327b8-1ee1-4c04-8249-169161d1be94,0,0,2,0
59c849f9-b3e5-4daf-841f-2ea793dc07e9,0,0,2,0
0360177c-8360-4331-a8aa-da6a920243b2,0,0,2,0
0170efba-ab9b-47c7-b168-b16cf3cfa08a,0,2,0,0
75272101-655b-4052-a1cc-e697552ad1d9,0,2,0,0
acb37cf8-d0f9-4acb-8559-ae80b60542cb,0,2,0,0
3a45a670-0a6f-4569-8072-83d44828d834,0,0,2,0
87a96ba6-c519-4c34-817d-45f2d50aaa87,0,2,0,0
1dd7a11b-e0fa-43f9-9e10-ff6ab64b02ee,0,0,0,2
8e6bd565-5c54-4f63-beaf-19d8709a0876,0,0,0,2
ad3faa03-3882-48e8-bd14-4aae7efc283a,0,2,0,0
fefb33d8-314a-4c3e-b7cd-1467c73b8743,0,0,0,2
92a4c5fd-5859-4c94-9d6d-0c5692152f2c,0,0,0,2
874996a1-c250-4c86-a8bb-7416526c76a2,0,2,0,0
b748094d-360b-4f2f-af82-2c5fa2ef9061,0,2,0,0
824cdbe6-f01d-4b7f-b67f-58904c947bf3,2,0,0,0
424f60ca-a3c8-4369-8aa3-9563de3588ca,0,2,0,0
766185ef-9da4-41cb-9a4a-17a015de1665,0,2,0,0
7e48904c-04be-4d71-abe0-0b48a6b4ab09,0,2,0,0
1eb1c71e-4cf3-4c35-840c-d0f55b82ac6c,0,2,0,0
2517fd0b-d3f4-41ae-9004-71721e2a817a,0,2,0,0
0186494e-2e39-4c9a-b12a-949cf52f5e2f,0,0,2,0
7c545b3e-69da-44b1-a578-374edddfc7db,0,0,2,0
e76c2925-eedd-4d0d-b60e-8ad921aa15ac,0,2,0,0
7a90d19d-55d1-4c0b-8dab-98aa962ef349,0,2,0,0
02924ca5-5608-4812-83c2-237220dec912,0,0,2,0
16d52601-f304-4e58-92ac-309b46aeda54,0,0,2,0
dfb0dba3-a090-4880-b748-1f23f162579a,0,0,0,2
d78c4070-e447-4f88-af30-532dc5a06198,0,0,2,0
d8edece9-8c43-44ef-8744-f95f4e8d2e24,0,0,2,0
c52fbcfa-963e-43f8-8831-bc08741d8145,2,0,0,0
a79e954b-b626-4454-882f-3624ffdac9c8,0,2,0,0
b1cce032-fb5b-4aa5-a842-1adf7cce108c,0,2,0,0
e70de051-25de-4fa1-a6c7-16d12581c517,0,0,2,0
7a384182-cf7f-4d62-90a9-852c65bd489b,0,2,0,0
0ec5d449-20df-4691-860b-374006beb722,0,2,0,0
6d739026-83e1-4551-9179-22d53b8529eb,0,2,0,0
1fc523e4-43a0-4301-803c-6e304c4e2f43,0,2,0,0
3ce993bf-1a96-4684-b060-d61f5a8ad305,0,0,2,0
b2f965e2-f88e-4514-857b-2f5d7457d79c,0,2,0,0
d0450c14-ef73-4d0c-a407-ebb70b0bf0ee,2,0,0,0
38c132b7-07c2-472a-a2bd-5957bcbab34c,2,0,0,0
