ProteinGroup,F06,F01,F07,F08
2781544b-2a50-4636-81c4-02fbeaacdcbf,112,584,212,210
e3e69403-c5ed-4f83-ae18-2ae098d61d0a,224,350,430,114
a8f76036-d7e0-4694-a051-8cf0fe909a57,188,488,366,74
ca9a7b59-bbd7-465d-8e86-821c4de1d183,204,362,466,84
2fc64c8d-0cdf-40bb-9207-930c4ccb9dc9,260,192,596,66
b5e90b55-da7d-4d14-bae1-948a53f46db4,134,646,238,96
fe487036-2e91-44d6-a97e-0eee74628e55,292,196,494,118
8789d887-dc3a-4d0d-bb4a-c84977063122,148,522,308,122
393dd7c9-2bf4-4fad-b389-1a6afda19780,178,432,350,138
c57a29da-464c-48ae-a8d1-a368e2f17dc2,198,440,382,78
e5c12cfb-5ad2-4483-ae13-030038ca196a,214,404,314,158
a0e2c095-c221-4fb9-8862-f59f848f0c23,178,526,296,76
2bef9f0b-4783-4a10-8ca5-7dc838efb62d,186,208,408,274
c060eafd-4f4b-4d55-811a-ff76c6a75ed4,268,226,508,72
a05b2956-c85f-4c30-9c8a-2aef8f57b671,238,272,480,82
0f66f8a4-7479-461e-835a-6ac5e2e5b296,278,220,506,68
9fca74cc-633a-41ba-abe0-6717c54a1a86,190,316,448,118
3fd6877d-978c-4b72-a57f-eacab3926f7b,196,192,590,90
e2f309b7-2c3c-401e-8e9b-7a6198fcaaae,188,186,600,92
1a38a50a-ae81-449d-9a79-ca937bba7837,108,538,220,200
47b33e29-2097-4245-89e2-85c8ad3ce719,264,242,432,126
c5c32e5d-d330-4d28-869b-00336451fb8a,268,236,484,74
0943340d-3a18-4977-b144-96be85ee1739,236,298,400,128
78723390-6e47-465f-9457-f7497fb85263,232,314,412,98
49dd5cec-fd39-4acf-b37d-6c71af413d16,178,366,332,178
89f0aca4-5204-44cf-bdc4-4aa8d8efb9d3,172,310,446,114
4d0ed9ab-178e-4846-b930-438e8a67445e,160,518,272,92
da2b3bf5-2cf0-48d2-9aef-c24ab111bfba,196,318,412,114
369efe73-e10a-4e61-bb74-33cc83e29277,210,272,418,138
92b29617-7898-49ba-bee5-6d9f7b598d1c,276,248,458,50
e31dc22e-adbc-462f-8f30-d10d9d4a5695,180,192,570,86
