KEGG	Percent	Count
K03685	0.001065045	48
K00104	0.000443769	20
K11392	0.00184164	83
K07313	0.000199696	9
K03565	0.001309117	59
K18682	0.002573858	116
K03553	0.002196655	99
K23253	0.003306076	149
K08153	0.002130089	96
K09684	0.001930394	87
K05873	0.00084316	38
K03152	0.000954103	43
K01599	0.001752886	79
K01358	0.000754407	34
K22390	0.035146476	1584
K02338	0.000576899	26
K03088	0.00084316	38
K00286	0.001597567	72
K13529	0.001309117	59
K01914	0.025006363	1127
K05305	0.075773494	3415
K01838	0.015531902	700
K02356	0.000355015	16
K21562	0.013424001	605
K03648	0.017617615	794
K01560	0.000998479	45
K18673	0.000355015	16
K01810	0.036122767	1628
K00057	0.03084192	1390
K09808K05685	0.00423799	191
K07343	0.000199696	9
K11631	0.000244073	11
K01055	0.000532522	24
K03930	0.001065045	48
K00560	0.001042856	47
K02099	0.001264741	57
K00287	0.000488145	22
K00525	0.003772033	170
K00655	0.000798784	36
K03892	0.000820972	37
K02358	0.002418539	109
K02355	0.00494802	223
K01207	0.002485104	112
K03046K13797	0.007899082	356
K02992	0.000798784	36
K02950	0.000954103	43
K18303	0.071690823	3231
K12340	0.037010304	1668
K04567	0.045086893	2032
K09920	0.000599088	27
K03651	0.001309117	59
K18954	0.02518387	1135
K18302	0.032128849	1448
K01191	0.072267722	3257
K06891	0.000177507	8
K01833	0.001198175	54
K15777	0.000954103	43
K21573	0.063680799	2870
K01809K00845	0.05913217	2665
K18581	0.001775075	80
K21572	0.044776255	2018
K02099	0.001575379	71
K07407	0.002041336	92
K02099	0.000820972	37
K07340	0.000820972	37
K01448	0.001065045	48
K03710	0.018593906	838
K18830	0.000998479	45
K06950	0.000621276	28
K00558	0.000798784	36
K02103	0.02773554	1250
K16092	0.05149935	2321
K00945	0.017129469	772
K02409	0.000732218	33
K02013	0.020790561	937
K02015	0.018238891	822
K02016	0.030464717	1373
K01676	0.002041336	92
K01809	0.001286929	58
K21562	0.011116404	501
K21453	0.000266261	12
K03340	0.000310638	14
K07720	0.002795742	126
K03310	0.002396351	108
K10557	0.000443769	20
K10556	0.00071003	32
K03625	0.000732218	33
K03601	0.002307597	104
K03602	0.000155319	7
K13789	0.00142006	64
K12113	0.001730698	78
K12448	0.001220364	55
K04047	0.000576899	26
K00135	0.00226322	102
K21467	0.002085713	94
K14268	0.001952582	88
K07786	0.001042856	47
K11735	0.001531002	69
K07486	0.00028845	13
K02031	0.001264741	57
K02034	0.001664132	75
K17064	0.001464436	66
K15313	0.000754407	34
K15735	0.000510334	23
K01662	0.002795742	126
K06442	0.001087233	49
K10823	0.001708509	77
K03676	0.001065045	48
K00276	0.000465957	21
K03790	0.000820972	37
K01447	0.0026848	121
K00008	0.00142006	64
K06400	0.000110942	5
K06199	0.008409416	379
K18555	0.015753787	710
K05847	0.00084316	38
K03088	0.000510334	23
K01689	0.033992677	1532
K03088	0.014932815	673
K05846	0.001153798	52
K17840	0.000465957	21
K01760	0.001641944	74
K19611	0.0485261	2187
K01091	0.000954103	43
K08323	0.001065045	48
K08322	0.00084316	38
K08173	4.44E-05	2
K14059	0.001087233	49
K06196	0.011848623	534
K03892	0.009918229	447
K08138	0.034480823	1554
K01805	0.025028551	1128
K09791	0.000133131	6
K00979	0.000798784	36
K19300	0.000798784	36
K03812	0.000355015	16
K11085	0.00071003	32
K00912	0.001153798	52
K09927	0.001531002	69
K01232	0.00368328	166
K07646	0.00084316	38
K15738	0.000133131	6
K01991	0.047904824	2159
K02171	0.008365039	377
K09667	0.041625498	1876
K03437	0.016996339	766
K03218	0.015620656	704
K03671	4.44E-05	2
K03101	0.012913667	582
K07667	0.000621276	28
K06204	0.009097257	410
K01870	0.075440668	3400
K09773	0.001042856	47
K01626	0.001175987	53
K12507	0.001464436	66
K03325	0.021456213	967
K01007	0.002285408	103
K19265	0.033748605	1521
K00313	0.001175987	53
K03855	0.000155319	7
K10804	0.020058342	904
K03521	0.000687841	31
K03522	0.001020668	46
K01190	0.094056762	4239
K19294	0.042202397	1902
K02338	0.032994198	1487
K03631	0.045064705	2031
K13038	0.031485385	1419
K06167	0.018704848	843
K15789	0.02136746	963
K00639	0.03352672	1511
K10009	0.000110942	5
K03305	0.030597847	1379
K00075	0.021456213	967
K07017	2.22E-05	1
K11527	0.058555271	2639
K06079	0.013024609	587
K15977	0.012780537	576
K07277	0.049169565	2216
K02172	0.027247394	1228
