KEGG	Percent	Count
K00912	1.97428E-05	2
K02055	9.8714E-05	10
K01755	0.000236914	24
K02053	1.97428E-05	2
K19265	9.8714E-05	10
K01214	9.8714E-06	1
K11022	7.89712E-05	8
K01995	1.97428E-05	2
K06147	3.94856E-05	4
K05540	1.97428E-05	2
K01607	1.97428E-05	2
K05799	1.97428E-05	2
K08223	9.8714E-06	1
K00891	0.001194439	121
K00790	0.003918946	397
K07175	4.9357E-05	5
K02933	3.94856E-05	4
K19171	3.94856E-05	4
K01866	7.89712E-05	8
K11085	1.97428E-05	2
K16092	5.92284E-05	6
K07138	6.90998E-05	7
K00336	4.9357E-05	5
K02371	1.97428E-05	2
K20976	9.8714E-06	1
K06902	4.9357E-05	5
K00057	5.92284E-05	6
K02028	1.97428E-05	2
K02424	1.97428E-05	2
K05936	3.94856E-05	4
K06400	0.001806466	183
K10947	2.96142E-05	3
K01990	0.000296142	30
K11621	1.97428E-05	2
K07087	0.000681127	69
K03703	0.0001382	14
K00931	6.90998E-05	7
K00147	0.000286271	29
K05515	0.000236914	24
K03609	0.000148071	15
K03608	9.8714E-06	1
K05837	3.94856E-05	4
K07258	6.90998E-05	7
K09384	2.96142E-05	3
K02884	0.000177685	18
K18843	0.000157942	16
K00554	1.97428E-05	2
K02860	9.8714E-06	1
K06960	8.88426E-05	9
K02959	2.96142E-05	3
K01990	0.000246785	25
K01585	0.000927912	94
K06871	0.001066111	108
K17319	9.8714E-06	1
K01206	0.000572541	58
K01206	2.96142E-05	3
K17318	9.8714E-05	10
K02171	0.004807372	487
K02172	0.00655461	664
K20846	3.94856E-05	4
K01687	6.90998E-05	7
K17686K19597	0.000720612	73
K07658	7.89712E-05	8
K03564	4.9357E-05	5
K01208	0.000157942	16
K03564	1.97428E-05	2
K00384	1.97428E-05	2
K03090	5.92284E-05	6
K18197	1.97428E-05	2
K03628	9.8714E-05	10
K00286	1.97428E-05	2
K03726	0.000236914	24
K06076	3.94856E-05	4
K16916	6.90998E-05	7
K01990	0.000167814	17
K06941	0.003139105	318
K03046	0.000651512	66
K03500	0.006149882	623
K23977	0.000335628	34
K01761	0.000187557	19
K03789	8.88426E-05	9
K03070	1.97428E-05	2
K01925	0.000375113	38
K15580	0.002201322	223
K06079	7.89712E-05	8
K00949	0.001539938	156
K03699	1.97428E-05	2
K06949	0.003445119	349
K12132	0.006426282	651
K20074	0.002912063	295
K01890	1.97428E-05	2
K20498	3.94856E-05	4
K01372	0.000651512	66
K00286	0.000187557	19
K00931	0.000256656	26
K00147	0.000444213	45
K01710	0.002971291	301
K01734	0.000276399	28
K17363	0.000345499	35
K01952	0.0001382	14
K07668	0.000315885	32
K02495	0.000177685	18
K07636	0.000276399	28
K01101	0.000167814	17
K04486	0.000118457	12
K03088	7.89712E-05	8
K03695	1.97428E-05	2
K06382	8.88426E-05	9
K02491	0.000157942	16
K03079	0.000217171	22
K01006	0.000394856	40
K21600	0.000315885	32
K01006	0.00049357	50
K17686K19597	0.002418493	245
K06024	0.000187557	19
K05896	0.000157942	16
K06402	4.9357E-05	5
K02902	0.001085854	110
K18672	0.000414599	42
K03930	0.000187557	19
K03431	0.003267434	331
K00262	7.89712E-05	8
K06967	3.94856E-05	4
K14717	0.000236914	24
K00285	0.000463956	47
K02406	7.89712E-05	8
K00973	0.001470839	149
K01198	0.006534867	662
K23987	0.000690998	70
K01604	0.002013766	204
K06178	0.001697881	172
K00604	0.001934794	196
K01462	0.002655407	269
K04066	0.006199239	628
K00942	0.003297048	334
K09777	0.000947654	96
K08483	0.01332639	1350
K01571	0.00408676	414
K00131	0.005241714	531
K23351	0.000799583	81
K05592	0.000167814	17
K00876	0.000661384	67
K06158	0.000503441	51
K00433	0.001885437	191
K14205	0.003070006	311
K07009	0.000335628	34
K23393	0.000454084	46
K18908	3.94856E-05	4
K04720	9.8714E-06	1
K24456	9.8714E-05	10
K18888	0.000927912	94
K18887	0.000513313	52
K03629	2.96142E-05	3
K24648	1.97428E-05	2
K13566	1.97428E-05	2
K02227	7.89712E-05	8
K04720	0.000128328	13
K02232	0.000217171	22
K06042	1.97428E-05	2
K23059	0.000246785	25
K17077	0.000306013	31
K18682	0.000276399	28
K02231	7.89712E-05	8
K02226	9.8714E-05	10
K00937	1.97428E-05	2
K16785	9.8714E-06	1
K07482	2.96142E-05	3
K08602	9.8714E-06	1
K01209	0.019486144	1974
K17734K14647	1.97428E-05	2
K00010	0.00944693	957
K00962	1.97428E-05	2
K01571	0.000187557	19
K00789	5.92284E-05	6
K01929	0.000167814	17
K19586	3.94856E-05	4
K22390	1.97428E-05	2
K10439	0.000819326	83
K23518	1.97428E-05	2
K01756	9.8714E-06	1
K21573	3.94856E-05	4
K02914	1.97428E-05	2
K02313	2.96142E-05	3
K03310	0.000365242	37
K10117	0.003158848	320
K08313	5.92284E-05	6
K04759	6.90998E-05	7
K01952	1.97428E-05	2
K00927	0.000977269	99
K03324	0.000207299	21
K20480	0.001066111	108
K04024	5.92284E-05	6
K07493	0.00042447	43
K02950	5.92284E-05	6
K03741	1.97428E-05	2
K02503	0.000256656	26
K02970	0.000256656	26
K18888	0.000552798	56
K02470	3.94856E-05	4
K10823	5.92284E-05	6
K15583	0.000286271	29
K02034	0.000197428	20
K16566	1.97428E-05	2
K02669	9.8714E-06	1
K23518	1.97428E-05	2
K16345	7.89712E-05	8
K01996	1.97428E-05	2
K00048	3.94856E-05	4
K01813	5.92284E-05	6
K00848	5.92284E-05	6
K21573	0.002615921	265
K02837	1.97428E-05	2
K21572	0.00141161	143
K01629	1.97428E-05	2
K01624	0.004027531	408
K11751	0.000404727	41
K14645	0.001885437	191
K15520	0.000375113	38
K07492	0.000375113	38
K00809	9.8714E-06	1
K07492	0.00035537	36
K21900	0.000157942	16
