Percent subgroups	4_GP_01_02_03_09_	3_GP_09_10_14_	2_GP_02_09_	3_GP_01_02_09_	2_GP_03_09_	3_GP_01_03_10_	3_GP_02_03_10_	3_GP_01_03_14_	3_GP_02_03_14_	2_GP_02_14_	4_GP_03_09_10_14_	3_GP_02_03_09_	5_GP_01_02_03_09_14_	2_GP_02_10_	4_GP_01_02_09_14_	4_GP_01_09_10_14_	3_GP_01_10_14_	5_GP_01_02_03_09_10_	1_GP_09_	4_GP_01_02_09_10_	1_GP_01_	3_GP_03_10_14_	5_GP_02_03_09_10_14_	3_GP_02_09_14_	2_GP_03_10_	6_GP_01_02_03_09_10_14_	2_GP_01_03_	5_GP_01_03_09_10_14_	3_GP_02_09_10_	2_GP_03_14_	2_GP_02_03_	2_GP_09_14_	5_GP_01_02_03_10_14_	5_GP_01_02_09_10_14_	4_GP_01_02_10_14_	4_GP_02_03_09_10_	3_GP_01_02_03_	4_GP_02_03_09_14_	1_GP_14_	2_GP_01_10_	1_GP_02_	2_GP_01_02_	4_GP_01_03_10_14_	1_GP_10_	2_GP_01_14_	2_GP_09_10_	3_GP_01_03_09_	2_GP_10_14_	3_GP_01_02_10_	4_GP_01_03_09_10_	4_GP_01_02_03_10_	3_GP_01_02_14_	4_GP_01_02_03_14_	1_GP_03_	4_GP_02_03_10_14_	4_GP_01_03_09_14_	3_GP_02_10_14_	3_GP_03_09_10_	3_GP_01_09_14_	2_GP_01_09_	4_GP_02_09_10_14_	3_GP_01_09_10_	3_GP_03_09_14_	OnePepPercent
0.328276631344116	4	0	0	18	0	0	0	0	0	0	0	0	29	0	19	0	0	243	0	173	0	0	5	0	0	2147	0	2	2	0	0	0	4	278	3	1	0	1	0	0	0	0	0	0	0	0	0	1	6	2	0	1	0	0	0	0	0	0	1	0	3	0	0	6.800408024481469E-4
0.31868377021751254	4	0	0	16	0	0	0	0	0	0	0	0	29	0	16	0	0	230	0	160	0	0	5	0	0	2121	0	2	0	0	0	0	3	255	2	0	0	1	0	0	0	0	0	0	0	0	0	1	6	1	0	1	0	0	0	0	0	0	1	0	3	0	0	7.005253940455342E-4
0.31076408254322363	4	0	0	15	0	0	0	0	0	0	0	0	27	0	13	0	0	224	0	153	0	0	3	0	0	2091	0	2	0	0	0	0	3	237	2	0	0	0	0	0	0	0	0	0	0	0	0	1	5	1	0	1	0	0	0	0	0	0	1	0	3	0	0	3.590664272890485E-4
0.3042944785276074	4	0	0	14	0	0	0	0	0	0	0	0	22	0	11	0	0	211	0	143	0	0	2	0	0	2076	0	2	0	0	0	0	2	227	2	0	0	0	0	0	0	0	0	0	0	0	0	1	5	1	0	1	0	0	0	0	0	0	1	0	3	0	0	3.667033370003667E-4
0.29938650306748466	3	0	0	13	0	0	0	0	0	0	0	0	20	0	10	0	0	204	0	138	0	0	2	0	0	2062	0	2	0	0	0	0	2	216	2	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	1	0	0	0	0	0	0	1	0	3	0	0	3.727171077152441E-4
0.29180145008365865	3	0	0	13	0	0	0	0	0	0	0	0	16	0	9	0	0	198	0	125	0	0	1	0	0	2040	0	2	0	0	0	0	0	197	2	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	1	0	0	0	0	0	0	1	0	3	0	0	3.824091778202677E-4
0.28622420524261016	3	0	0	12	0	0	0	0	0	0	0	0	16	0	8	0	0	192	0	120	0	0	1	0	0	2011	0	1	0	0	0	0	0	190	2	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	1	0	0	0	0	0	0	1	0	3	0	0	3.898635477582846E-4
0.2825432236475181	3	0	0	12	0	0	0	0	0	0	0	0	15	0	6	0	0	190	0	117	0	0	0	0	0	1996	0	1	0	0	0	0	0	182	2	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	1	0	0	0	0	0	0	1	0	2	0	0	3.9494470774091627E-4
0.27830451756832125	3	0	0	11	0	0	0	0	0	0	0	0	15	0	5	0	0	184	0	112	0	0	0	0	0	1987	0	1	0	0	0	0	0	166	2	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	1	0	0	0	0	0	0	1	0	2	0	0	4.0096230954290296E-4
0.27216954824316786	3	0	0	9	0	0	0	0	0	0	0	0	13	0	5	0	0	182	0	104	0	0	0	0	0	1956	0	1	0	0	0	0	0	157	2	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	1	0	0	0	0	0	0	1	0	1	0	0	4.100041000410004E-4
